code_module,code_presentation,id_student,gender,region,highest_education,imd_band,age_band,num_of_prev_attempts,studied_credits,disability,final_result,date_registration,total_clicks_30,active_days_30,unique_resources_30,avg_clicks_per_active_day_30,assessments_submitted_30,avg_score_30,late_submissions_30,has_early_assessment,support_needed
BBB,2013J,23798,M,Wales,A Level or Equivalent,50-60%,0-35,0,60,N,Distinction,-27.0,146,11,15,13.272727272727273,1,90.0,0,1,0
BBB,2013J,27759,M,North Western Region,Lower Than A Level,40-50%,35-55,0,120,Y,Fail,-43.0,123,12,21,10.25,1,61.0,0,1,1
BBB,2013J,30091,F,South West Region,A Level or Equivalent,10-20,0-35,0,60,Y,Pass,-145.0,162,8,22,20.25,1,80.0,1,1,0
BBB,2013J,31014,F,West Midlands Region,Lower Than A Level,80-90%,35-55,0,120,N,Withdrawn,-43.0,311,22,10,14.136363636363637,1,85.0,0,1,1
BBB,2013J,31849,F,South West Region,Lower Than A Level,60-70%,35-55,0,120,N,Pass,-128.0,414,17,23,24.352941176470587,1,81.0,0,1,0
BBB,2013J,37622,F,Scotland,HE Qualification,80-90%,0-35,1,120,N,Pass,-46.0,63,3,5,21.0,1,70.0,0,1,0
BBB,2013J,38234,F,East Midlands Region,A Level or Equivalent,60-70%,0-35,0,60,N,Fail,-117.0,27,3,8,9.0,1,70.0,0,1,1
BBB,2013J,47855,F,Scotland,Lower Than A Level,10-20,35-55,3,300,N,Withdrawn,23.0,5,3,1,1.6666666666666667,0,,0,0,1
BBB,2013J,48040,F,East Midlands Region,A Level or Equivalent,20-30%,35-55,0,120,N,Pass,-92.0,273,23,24,11.869565217391305,1,60.0,0,1,0
BBB,2013J,48503,F,West Midlands Region,Lower Than A Level,10-20,0-35,0,60,N,Pass,-146.0,105,7,8,15.0,1,76.0,0,1,0
BBB,2013J,51301,F,Wales,Lower Than A Level,30-40%,0-35,2,60,Y,Withdrawn,-52.0,408,29,20,14.068965517241379,1,93.0,0,1,1
BBB,2013J,52797,F,South West Region,Lower Than A Level,30-40%,35-55,1,60,N,Pass,-54.0,244,13,19,18.76923076923077,1,87.0,0,1,0
BBB,2013J,52899,F,East Midlands Region,Lower Than A Level,50-60%,35-55,1,90,N,Pass,-124.0,390,20,65,19.5,1,73.0,0,1,0
BBB,2013J,55026,F,London Region,A Level or Equivalent,20-30%,35-55,0,60,Y,Pass,-88.0,112,11,9,10.181818181818182,1,59.0,0,1,0
BBB,2013J,56340,F,South Region,Lower Than A Level,20-30%,0-35,0,60,N,Fail,-120.0,4,1,2,4.0,0,,0,0,1
BBB,2013J,56789,F,South East Region,A Level or Equivalent,60-70%,35-55,1,60,N,Pass,-30.0,46,5,6,9.2,1,85.0,0,1,0
BBB,2013J,57079,F,London Region,Lower Than A Level,30-40%,35-55,0,60,N,Fail,-129.0,99,11,18,9.0,1,74.0,0,1,1
BBB,2013J,63044,F,London Region,Lower Than A Level,20-30%,0-35,1,120,N,Fail,-43.0,93,7,20,13.285714285714286,1,65.0,0,1,1
BBB,2013J,68556,F,South East Region,HE Qualification,70-80%,0-35,0,60,N,Fail,-23.0,38,7,10,5.428571428571429,1,75.0,0,1,1
BBB,2013J,73489,F,South Region,HE Qualification,80-90%,0-35,0,120,N,Pass,-11.0,438,20,20,21.9,1,63.0,0,1,0
BBB,2013J,74585,F,Wales,A Level or Equivalent,60-70%,35-55,0,60,N,Distinction,-39.0,714,24,17,29.75,1,81.0,0,1,0
BBB,2013J,78255,F,North Region,Lower Than A Level,0-10%,0-35,1,120,N,Withdrawn,-162.0,108,13,19,8.307692307692308,1,76.0,0,1,1
BBB,2013J,80717,F,South West Region,Lower Than A Level,60-70%,35-55,0,60,N,Distinction,-33.0,276,13,21,21.23076923076923,1,85.0,0,1,0
BBB,2013J,84812,F,East Anglian Region,A Level or Equivalent,80-90%,0-35,0,120,N,Pass,-75.0,93,10,18,9.3,1,90.0,0,1,0
BBB,2013J,86291,F,Wales,HE Qualification,50-60%,35-55,1,60,N,Fail,-32.0,17,1,3,17.0,1,76.0,0,1,1
BBB,2013J,90243,F,Wales,HE Qualification,70-80%,35-55,0,60,N,Pass,-18.0,486,17,27,28.58823529411765,1,51.0,0,1,0
BBB,2013J,96475,M,South East Region,Lower Than A Level,60-70%,0-35,0,180,N,Pass,-48.0,83,7,17,11.857142857142858,1,86.0,1,1,0
BBB,2013J,97567,F,Wales,HE Qualification,70-80%,35-55,0,60,N,Pass,-30.0,55,4,5,13.75,1,86.0,0,1,0
BBB,2013J,98268,F,Scotland,HE Qualification,70-80%,35-55,0,60,N,Pass,-25.0,114,6,11,19.0,1,85.0,0,1,0
BBB,2013J,98720,F,London Region,Lower Than A Level,20-30%,35-55,0,60,Y,Pass,-186.0,83,4,14,20.75,1,85.0,0,1,0
BBB,2013J,100282,F,Wales,Lower Than A Level,20-30%,0-35,1,120,N,Withdrawn,-54.0,35,3,7,11.666666666666666,1,78.0,0,1,1
BBB,2013J,105527,F,Scotland,HE Qualification,40-50%,35-55,0,120,N,Pass,-92.0,141,10,7,14.1,1,78.0,0,1,0
BBB,2013J,105851,F,West Midlands Region,A Level or Equivalent,20-30%,0-35,0,60,Y,Pass,-29.0,58,8,12,7.25,1,84.0,1,1,0
BBB,2013J,105883,F,North Western Region,A Level or Equivalent,0-10%,35-55,0,60,N,Pass,-29.0,615,17,28,36.1764705882353,1,75.0,0,1,0
BBB,2013J,106588,F,Scotland,A Level or Equivalent,60-70%,35-55,0,60,N,Distinction,-24.0,241,10,24,24.1,1,84.0,0,1,0
BBB,2013J,108118,F,South Region,A Level or Equivalent,90-100%,35-55,0,60,N,Pass,-32.0,104,7,16,14.857142857142858,1,96.0,0,1,0
BBB,2013J,108760,F,London Region,Lower Than A Level,30-40%,35-55,3,60,N,Fail,-102.0,209,10,7,20.9,1,80.0,0,1,1
BBB,2013J,109372,F,South West Region,Lower Than A Level,,0-35,0,60,N,Pass,-141.0,139,17,7,8.176470588235293,1,87.0,0,1,0
BBB,2013J,109782,F,Scotland,A Level or Equivalent,50-60%,0-35,0,60,N,Withdrawn,-26.0,50,8,14,6.25,1,82.0,0,1,1
BBB,2013J,111942,F,South West Region,A Level or Equivalent,70-80%,35-55,0,120,N,Pass,-128.0,296,13,26,22.76923076923077,1,77.0,0,1,0
BBB,2013J,119898,F,West Midlands Region,Lower Than A Level,30-40%,0-35,2,60,N,Pass,-195.0,28,4,7,7.0,1,80.0,1,1,0
BBB,2013J,123716,M,North Region,Lower Than A Level,10-20,0-35,0,90,N,Pass,-39.0,176,23,14,7.6521739130434785,1,78.0,0,1,0
BBB,2013J,124909,M,Yorkshire Region,Lower Than A Level,40-50%,35-55,0,60,N,Pass,-117.0,164,19,11,8.631578947368421,1,76.0,0,1,0
BBB,2013J,128386,M,South Region,Lower Than A Level,30-40%,35-55,0,60,N,Fail,-47.0,36,5,4,7.2,0,,0,0,1
BBB,2013J,128889,F,South Region,A Level or Equivalent,90-100%,35-55,1,120,N,Pass,-12.0,1788,24,29,74.5,1,74.0,0,1,0
BBB,2013J,131051,F,Scotland,Lower Than A Level,60-70%,0-35,3,60,N,Pass,-54.0,59,11,14,5.363636363636363,1,82.0,0,1,0
BBB,2013J,132626,F,South Region,A Level or Equivalent,20-30%,0-35,0,60,N,Withdrawn,-39.0,255,24,9,10.625,1,74.0,0,1,1
BBB,2013J,134563,F,Scotland,Lower Than A Level,20-30%,0-35,2,60,N,Pass,-46.0,1944,28,20,69.42857142857143,1,72.0,0,1,0
BBB,2013J,138289,F,East Midlands Region,Lower Than A Level,40-50%,0-35,0,60,N,Fail,-44.0,159,9,16,17.666666666666668,1,75.0,0,1,1
BBB,2013J,138920,F,Wales,Lower Than A Level,0-10%,0-35,1,60,N,Fail,-30.0,200,10,21,20.0,1,72.0,0,1,1
BBB,2013J,139549,F,Scotland,Lower Than A Level,40-50%,0-35,1,60,Y,Pass,-99.0,70,5,10,14.0,1,57.0,0,1,0
BBB,2013J,141949,F,East Anglian Region,Lower Than A Level,20-30%,0-35,1,60,N,Pass,-60.0,207,14,17,14.785714285714286,1,78.0,0,1,0
BBB,2013J,146165,F,Wales,A Level or Equivalent,40-50%,35-55,0,60,N,Pass,-37.0,33,1,16,33.0,1,63.0,0,1,0
BBB,2013J,146600,F,Ireland,Lower Than A Level,80-90%,0-35,0,120,N,Pass,-141.0,89,7,14,12.714285714285714,1,87.0,0,1,0
BBB,2013J,151800,F,Wales,Lower Than A Level,20-30%,0-35,0,60,N,Fail,-47.0,32,4,6,8.0,1,48.0,0,1,1
BBB,2013J,151917,F,West Midlands Region,A Level or Equivalent,10-20,0-35,3,60,N,Fail,-80.0,53,5,16,10.6,1,80.0,0,1,1
BBB,2013J,153704,F,West Midlands Region,Lower Than A Level,0-10%,0-35,2,60,N,Fail,-73.0,29,6,8,4.833333333333333,0,,0,0,1
BBB,2013J,154011,F,South East Region,A Level or Equivalent,30-40%,0-35,0,60,N,Pass,-29.0,23,3,5,7.666666666666667,1,76.0,0,1,0
BBB,2013J,154570,F,Scotland,Lower Than A Level,50-60%,35-55,1,60,N,Withdrawn,-64.0,4525,31,41,145.96774193548387,1,49.0,0,1,1
BBB,2013J,156311,F,London Region,A Level or Equivalent,80-90%,35-55,0,60,N,Pass,-23.0,78,6,14,13.0,1,79.0,0,1,0
BBB,2013J,156788,M,East Midlands Region,Lower Than A Level,30-40%,35-55,0,180,N,Withdrawn,-195.0,0,0,0,0.0,0,,0,0,1
BBB,2013J,157060,F,East Midlands Region,Lower Than A Level,30-40%,0-35,0,60,N,Pass,-29.0,34,3,10,11.333333333333334,1,74.0,0,1,0
BBB,2013J,157795,M,Yorkshire Region,Lower Than A Level,80-90%,35-55,1,60,N,Pass,-16.0,423,16,27,26.4375,1,74.0,0,1,0
BBB,2013J,161491,F,Scotland,A Level or Equivalent,30-40%,0-35,0,120,N,Distinction,-64.0,153,9,15,17.0,1,84.0,0,1,0
BBB,2013J,162646,F,Scotland,Lower Than A Level,0-10%,0-35,1,60,N,Fail,-25.0,0,0,0,0.0,0,,0,0,1
